region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path
74,59,65,8,1,59,62175,15979,25.7,100.0,87.84,10.81,1.35,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1536_y2560.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1536_y2560.jpg
58,63,33,20,5,63,62238,17072,27.43,100.0,56.9,34.48,8.62,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1792_y1536.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1792_y1536.jpg
48,54,36,10,2,54,62082,17520,28.22,100.0,75.0,20.83,4.17,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1792_y1792.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1792_y1792.jpg
64,69,33,25,6,69,62227,16731,26.89,100.0,51.56,39.06,9.38,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1792_y2048.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1792_y2048.jpg
69,66,50,15,4,66,62224,16963,27.26,100.0,72.46,21.74,5.8,2,3,6,high,0,DNMT3A_1874_block1.jpg_x1792_y2304.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x1792_y2304.jpg
64,60,57,4,3,60,62233,17336,27.86,100.0,89.06,6.25,4.69,2,3,6,high,0,DNMT3A_1874_block1.jpg_x2048_y1792.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x2048_y1792.jpg
60,58,46,12,2,57,62251,16807,27.0,98.28,76.67,20.0,3.33,2,3,6,high,0,DNMT3A_1874_block1.jpg_x2048_y2048.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x2048_y2048.jpg
61,58,44,15,2,58,62097,17206,27.71,100.0,72.13,24.59,3.28,2,3,6,high,0,DNMT3A_1874_block1.jpg_x2048_y2304.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x2048_y2304.jpg
55,68,51,3,1,68,61442,16816,27.37,100.0,92.73,5.45,1.82,1,3,3,low,0,DNMT3A_1874_block1.jpg_x256_y1280.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x256_y1280.jpg
40,69,36,2,2,69,61258,17508,28.58,100.0,90.0,5.0,5.0,1,3,3,low,0,DNMT3A_1874_block1.jpg_x768_y1280.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x768_y1280.jpg
52,56,40,12,0,56,60424,16355,27.07,100.0,76.92,23.08,0.0,2,3,6,high,0,DNMT3A_1874_block1.jpg_x768_y1536.jpg,DNMT3A_1874_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1874_block1.jpg_x768_y1536.jpg
